STATENAME,ST_CASE,COUNTYNAME,MONTHNAME,DAY_WEEKNAME,LGT_CONDNAME,HOUR,HOURNAME,ROUTENAME,WEATHERNAME,FATALS
alabama,10001,st clair,February,Friday,Dark - Not Lighted,22,10:00pm-10:59pm,Interstate,Rain,2
alabama,10002,jefferson,February,Thursday,Dark - Not Lighted,18,6:00pm-6:59pm,Interstate,Rain,2
alabama,10003,jefferson,February,Sunday,Dark - Not Lighted,0,0:00am-0:59am,Interstate,Rain,1
alabama,10004,shelby,February,Wednesday,Daylight,16,4:00pm-4:59pm,Interstate,Clear,1
alabama,10005,jefferson,January,Saturday,Dark - Not Lighted,22,10:00pm-10:59pm,Interstate,Cloudy,1
alabama,10006,autauga,January,Thursday,Daylight,12,12:00pm-12:59pm,Interstate,Clear,1
alabama,10007,limestone,January,Wednesday,Dark - Not Lighted,22,10:00pm-10:59pm,Interstate,Clear,1
alabama,10008,tuscaloosa,January,Saturday,Dark - Lighted,2,2:00am-2:59am,State Highway,Clear,1
alabama,10009,montgomery,January,Sunday,Dark - Lighted,0,0:00am-0:59am,Interstate,Clear,1
alabama,10010,jefferson,January,Wednesday,Dark - Not Lighted,0,0:00am-0:59am,Interstate,Rain,1
alabama,10011,jefferson,January,Friday,Daylight,13,1:00pm-1:59pm,Interstate,Clear,1
alabama,10012,cullman,January,Thursday,Dark - Not Lighted,19,7:00pm-7:59pm,Interstate,Clear,1
alabama,10013,mobile,January,Friday,Dawn,5,5:00am-5:59am,Interstate,Cloudy,1
alabama,10014,coffee,January,Friday,Dark - Lighted,1,1:00am-1:59am,State Highway,Rain,1
alabama,10015,jefferson,January,Friday,Dark - Not Lighted,2,2:00am-2:59am,County Road,Rain,1
alabama,10016,jefferson,January,Friday,Dark - Not Lighted,2,2:00am-2:59am,County Road,Rain,1
alabama,10017,limestone,January,Friday,Dark - Not Lighted,1,1:00am-1:59am,U.S. Highway,Rain,1
alabama,10018,calhoun,January,Friday,Dark - Not Lighted,18,6:00pm-6:59pm,U.S. Highway,Clear,1
alabama,10019,fayette,January,Friday,Dark - Not Lighted,19,7:00pm-7:59pm,State Highway,Clear,1
alabama,10020,tuscaloosa,January,Sunday,Daylight,8,8:00am-8:59am,Local Street - Municipality,Clear,1
alabama,10021,jefferson,January,Monday,Daylight,13,1:00pm-1:59pm,State Highway,Clear,1
alabama,10022,mobile,January,Monday,Dark - Not Lighted,18,6:00pm-6:59pm,Local Street - Municipality,Clear,1
alabama,10023,elmore,January,Tuesday,Dark - Not Lighted,22,10:00pm-10:59pm,County Road,Clear,2
alabama,10024,mobile,January,Tuesday,Dark - Not Lighted,3,3:00am-3:59am,County Road,Clear,1
alabama,10025,franklin,January,Wednesday,Daylight,7,7:00am-7:59am,County Road,Clear,1
alabama,10026,coffee,January,Wednesday,Dark - Not Lighted,18,6:00pm-6:59pm,U.S. Highway,Clear,1
